Tag_group,tag_name,scan_buffer,∫Ò∆Æ
L10_111,L10GAS010110_AD001,10,
L10_111,L10GAS010110_AD002,100,
L10_111,L10GAS010110_AD003,1000,
L10_111,L10GAS010110_AD004,10000,
L10_111,L10GAS010110_AD005,30000,
L10_222,L10GAS010110_AD006,10,0
L10_222,L10GAS010110_AD007,10,1
L10_222,L10GAS010110_AD008,10,2
L10_222,L10GAS010110_AD009,10,3
L10_222,L10GAS010110_AD010,10,4
L10_333,L10GAS010110_AD011,10,5
L10_333,L10GAS010110_AD012,100,
L10_333,L10GAS010110_AD013,1000,
L10_333,L10GAS010110_AD014,10000,
L10_333,L10GAS010110_AD015,30000,
