레지스트 영역,워드 수,태그 그룹,레지스트 영역2,start1,end1,start2,end2
EM000000,900,TAG_GROUP,0,00000,899,900,1799
EM000900,900,TAG_GROUP,900,00900,1799,1800,2699
EM001800,900,TAG_GROUP,1800,01800,2699,2700,3599
EM002700,900,TAG_GROUP,2700,02700,3599,3600,4499
DM003600,900,TAG_GROUP,18600,03600,4499,4500,5399
DM004500,900,TAG_GROUP,19500,04500,5399,5400,6299
DM005400,900,TAG_GROUP,20400,05400,6299,6300,7199
DM116300,900,TAG_GROUP,6300,16300,17199,17200,18099
DM117200,900,TAG_GROUP,7200,17200,18099,18100,18999
DM118100,900,TAG_GROUP,8100,18100,18999,19000,19899
