Tag_group,tag_name,scan_buffer,∫Ò∆Æ
L11_111,L11GAS010110_AD001,10,
L11_111,L11GAS010110_AD002,100,
L11_111,L11GAS010110_AD003,1000,
L11_111,L11GAS010110_AD004,2000,
L11_111,L11GAS010110_AD005,4000,
L11_222,L11GAS010110_AD006,18000,0
L11_222,L11GAS010110_AD007,19000,1
L11_222,L11GAS010110_AD008,20000,2
L11_222,L11GAS010110_AD009,22000,3
L11_333,L11GAS010110_AD010,6000,4
L11_333,L11GAS010110_AD011,7000,5
L11_333,L11GAS010110_AD012,8000,
L11_333,L11GAS010110_AD013,9000,
L11_333,L11GAS010110_AD014,10000,
L11_444,L11GAS010110_AD015,1000,
L11_444,L11GAS010110_AD016,2000,
