number,name,position,age,nation,team,value
1,Kylian Mbappé,Centre-Forward,24,France,Paris Saint-Germain,€180.00m 
2,Erling Haaland,Centre-Forward,22,Norway,Manchester City,€170.00m 
3,Vinicius Junior,Left Winger,22,Brazil,Real Madrid,€150.00m  
4,Jude Bellingham,Central Midfield,19,England,Borussia Dortmund,€120.00m 
5,Jamal Musiala,Attacking Midfield,20,Germany,Bayern Munich,€110.00m 
6,Bukayo Saka,Right Winger,21,England,Arsenal FC,€110.00m 
7,Phil Foden,Left Winger,23,England,Manchester City,€110.00m 
8,Pedri,Central Midfield,20,Spain,FC Barcelona,€100.00m  
9,Rodrygo,Right Winger,22,Brazil,Real Madrid,€100.00m  
10,Victor Osimhen,Centre-Forward,24,Nigeria,SSC Napoli,€100.00m 
11,Federico Valverde,Central Midfield,24,Uruguay,Real Madrid,€100.00m  
12,Gavi,Central Midfield,18,Spain,FC Barcelona,€90.00m  
13,Harry Kane,Centre-Forward,29,England,Tottenham Hotspur,€90.00m 
14,Enzo Fernández,Defensive Midfield,22,Argentina,Chelsea FC,€85.00m 
15,Eduardo Camavinga,Central Midfield,20,France,Real Madrid,€85.00m  
16,Florian Wirtz,Attacking Midfield,20,Germany,Bayer 04 Leverkusen,€85.00m 
17,Khvicha Kvaratskhelia,Left Winger,22,Georgia,SSC Napoli,€85.00m 
18,Aurélien Tchouaméni,Defensive Midfield,23,France,Real Madrid,€85.00m  
19,Lautaro Martínez,Centre-Forward,25,Argentina,Inter Milan,€80.00m 
20,Declan Rice,Defensive Midfield,24,England,West Ham United,€80.00m 
21,Rodri,Defensive Midfield,26,Spain,Manchester City,€80.00m 
22,Rafael Leão,Left Winger,24,Portugal,AC Milan,€80.00m 
23,Christopher Nkunku,Second Striker,25,France,RB Leipzig,€80.00m 
24,Martin Ødegaard,Attacking Midfield,24,Norway,Arsenal FC,€80.00m 
25,Marcus Rashford,Left Winger,25,England,Manchester United,€80.00m 
26,Bernardo Silva,Attacking Midfield,28,Portugal,Manchester City,€80.00m 
27,Joshua Kimmich,Defensive Midfield,28,Germany,Bayern Munich,€80.00m 
28,Kevin De Bruyne,Attacking Midfield,31,Belgium,Manchester City,€80.00m 
29,Luis Díaz,Left Winger,26,Colombia,Liverpool FC,€75.00m 
30,Josko Gvardiol,Centre-Back,21,Croatia,RB Leipzig,€75.00m 
31,Gabriel Jesus,Centre-Forward,26,Brazil,Arsenal FC,€75.00m 
32,Dusan Vlahovic,Centre-Forward,23,Serbia,Juventus FC,€75.00m 
33,Frenkie de Jong,Central Midfield,26,Netherlands,FC Barcelona,€75.00m  
34,Matthijs de Ligt,Centre-Back,23,Netherlands,Bayern Munich,€75.00m 
35,Rúben Dias,Centre-Back,26,Portugal,Manchester City,€75.00m 
36,Bruno Fernandes,Attacking Midfield,28,Portugal,Manchester United,€75.00m 
37,Gabriel Martinelli,Left Winger,21,Brazil,Arsenal FC,€70.00m 
38,Antony,Right Winger,23,Brazil,Manchester United,€70.00m 
39,Darwin Núñez,Centre-Forward,23,Uruguay,Liverpool FC,€70.00m 
40,Ronald Araújo,Centre-Back,24,Uruguay,FC Barcelona,€70.00m  
41,Reece James,Right-Back,23,England,Chelsea FC,€70.00m 
42,Alphonso Davies,Left-Back,22,Canada,Bayern Munich,€70.00m 
43,Éder Militão,Centre-Back,25,Brazil,Real Madrid,€70.00m  
44,Achraf Hakimi,Right-Back,24,Morocco,Paris Saint-Germain,€70.00m 
45,Nicolò Barella,Central Midfield,26,Italy,Inter Milan,€70.00m 
46,Jack Grealish,Left Winger,27,England,Manchester City,€70.00m 
47,Leroy Sané,Right Winger,27,Germany,Bayern Munich,€70.00m 
48,Marquinhos,Centre-Back,29,Brazil,Paris Saint-Germain,€70.00m 
49,Mohamed Salah,Right Winger,30,Egypt,Liverpool FC,€70.00m 
50,Neymar,Left Winger,31,Brazil,Paris Saint-Germain,€70.00m 
